23	600185	格力地产 点评	房地产业	6.59	4.60%	126	15	0	0	2015	.14	.33	6.59	7.59	2.9	1	0	4.1	-1.2	-1	-1.9	81	1.11	13.8	9.7	27.9	29.1	31.9	32.9	26.4	28.3	5.58	2.48
24	600466	蓝光发展 点评	房地产业	2.29	4.57%	70	-1	0	0	3711	.57	.08	5.23	7.25	5	1	0	5.5	-.5	-2.1	-2.9	82	1.01	16.9	11.4	26.5	27.0	29.5	31.6	27.1	30.0	10.75	1.44
25	600225	*ST松江 点评	房地产业	2.89	4.33%	99	-28	0	0	-248	-.03	-.07	-21.55	35.86	-6.8	0	0	-3.9	-2.9	.5	6.3	86	0.72	3.4	7.3	36.3	39.2	34.8	34.3	25.5	19.2	0.37	2.65
26	600658	电子城 点评	房地产业	5.06	4.12%	57	-17	0	0	786	.13	-.78	-9.33	16.89	4.7	1	0	4.5	.2	-7.7	3.0	67	0.67	12.2	7.7	23.8	23.6	26.5	34.2	37.5	34.5	2.95	2.45
27	600657	信达地产 点评	房地产业	7.66	4.08%	218	27	0	0	-5553	-.25	-1.26	-35.96	-18.23	-3.7	0	0	-5.1	1.4	.3	3.4	124	0.61	32.0	37.1	28.3	26.9	21.1	20.8	18.6	15.2	6.69	1.41
28	600077	宋都股份 点评	房地产业	5.22	3.78%	70	86	0	0	103	0	-.67	-1.97	2.09	.1	0	0	-1.6	1.7	0	-0.1	66	0.94	7.7	9.3	25.5	23.8	32.4	32.4	34.4	34.5	14.93	0.92
29	000886	海南高速 点评	房地产业	4.21	3.69%	41	50	0	0	2379	.58	-.2	8.17	29.08	10.6	1	0	6.8	3.8	-8.2	-2.4	81	0.94	15.5	8.7	30.1	26.3	25.5	33.7	28.9	31.3	5.38	5.12
30	600649	城投控股 点评	房地产业	4.74	3.27%	120	13	0	0	3106	.25	.35	13.55	17.58	6.8	1	0	2.4	4.4	-4.9	-1.9	83	1.17	15.1	12.7	29.8	25.4	28.3	33.2	26.8	28.7	3.82	2.16
31	000029	深深房A 点评	房地产业	8.98	3.22%	80	41	8.32	28.65	-63	0	0	-.98	3.26	-.3	0	1	-3	2.7	.6	-0.3	61	0.96	1.0	4.0	29.2	26.5	40.0	39.4	29.8	30.1	2.64	2.95
32	600515	*ST基础 点评	房地产业	3.56	3.19%	327	84	0	0	-364	-.01	0	-2.67	-14.94	-2.2	0	0	-5.8	3.6	2.8	-0.6	87	0.99	9.0	14.8	33.6	30.0	34.0	31.2	23.4	24.0	0.50	2.51
33	600692	亚通股份 点评	房地产业	7.98	2.97%	20	146	0	0	3827	1.88	6.86	27.26	-4.43	10.5	1	0	3.8	6.7	-2.8	-7.7	57	1.71	6.4	2.6	27.3	20.6	34.5	37.3	31.8	39.5	18.05	1.75
34	002016	世荣兆业 点评	房地产业	7.73	2.93%	53	12	0	0	-10130	-1.85	-2.84	-41.53	1.47	-20.5	0	0	-7.1	-13.4	4.6	15.9	74	0.60	5.3	12.4	21.4	34.8	35.5	30.9	37.8	21.9	9.01	6.43
35	600638	新黄浦 点评	房地产业	6.36	2.91%	43	41	0	0	-1118	-.27	-.57	-12.93	9.62	-9	0	0	-2.1	-6.9	4.5	4.5	32	0.79	0.2	2.3	11.3	18.2	38.7	34.2	49.8	45.3	2.91	2.10
36	600340	华夏幸福 点评	房地产业	3.83	2.68%	149	-1	0	0	-606	-.06	.26	1.28	-1	-.6	0	0	-.8	.2	1.2	-0.6	72	1.06	8.7	9.5	27.0	26.8	33.4	32.2	30.9	31.5	6.86	0.92
37	601512	中新集团 点评	房地产业	9.31	2.65%	74	9	0	0	1024	.13	-.18	9.03	14.19	12.6	1	0	-.9	13.5	-5.8	-6.8	39	0.83	0.9	1.8	25.0	11.5	37.0	42.8	37.1	43.9	1.11	2.50
38	600663	陆家嘴 点评	房地产业	11.65	2.55%	342	11	7.57	2.46	-1274	-.04	-.02	-21.05	23.45	-5	0	0	3.6	-8.6	-4	9.0	60	0.60	10.6	7.0	16.7	25.3	28.2	32.2	44.5	35.5	0.75	2.34
39	000560	我爱我家 点评	房地产业	3.79	2.43%	85	14	0	0	-3969	-.47	-.76	-13.03	5.64	-5.8	0	0	-2.7	-3.1	4.2	1.6	85	0.85	11.1	13.8	28.3	31.4	33.7	29.5	26.9	25.3	7.95	1.49
40	001914	招商积余 点评	房地产业	17.65	2.14%	118	36	0	0	-2235	-.17	-.07	-5.5	15.62	-5.1	0	0	.7	-5.8	1.5	3.6	64	0.97	5.9	5.2	23.6	29.4	35.9	34.4	34.6	31.0	3.69	1.92
41	000656	金科股份 点评	房地产业	4.91	2.08%	261	4	0	0	9095	.37	-.1	6.55	-.09	7.8	1	0	2.8	5	-3.2	-4.6	90	0.96	15.8	13.0	33.3	28.3	26.1	29.3	24.8	29.4	4.46	1.46
42	600675	中华企业 点评	房地产业	3.43	2.08%	209	26	0	0	36	0	-.06	-2.85	8.51	.2	1	0	3	-2.8	-1.2	1.0	62	0.91	7.0	4.0	23.9	26.7	31.8	33.0	37.3	36.3	0.87	1.77
43	000718	苏宁环球 点评	房地产业	4.46	2.06%	102	14	0	0	-528	-.04	-.7	-9.04	10.98	-.9	0	0	6.7	-7.6	-1.4	2.3	81	0.81	11.4	4.7	28.5	36.1	31.0	32.4	29.1	26.8	5.71	2.26
44	002377	国创高新 点评	房地产业	3.52	2.03%	32	-4	0	0	1267	.41	-1.97	-8.77	14.89	6.7	1	0	8.5	-1.8	-9	2.3	62	0.61	10.8	2.3	23.8	25.6	32.6	41.6	32.8	30.5	5.88	1.55
45	000069	华侨城A 点评	房地产业	7.36	1.94%	519	16	0	0	-8109	-.15	-.17	-12.79	5.7	-5.2	0	0	-4.6	-.6	4.8	0.4	112	0.88	22.6	27.2	31.0	31.6	27.0	22.2	19.4	19.0	2.97	2.57
46	002208	合肥城建 点评	房地产业	9.38	1.74%	58	8	0	0	-2057	-.36	.06	-2.37	18.44	-2.5	0	0	1.2	-3.7	.6	1.9	68	1.01	8.2	7.0	24.6	28.3	39.0	38.4	28.2	26.3	13.93	1.70
47	600716	凤凰股份 点评	房地产业	5.36	1.71%	50	43	0	0	1521	.3	-.2	4.77	8.75	7.7	1	0	-.5	8.2	-6.7	-1.0	71	0.93	6.1	6.6	33.4	25.2	35.0	41.7	25.5	26.5	3.96	1.16
48	000615	奥园美谷 点评	房地产业	8.61	1.65%	67	24	0	0	-271	-.04	1.15	2.72	6.65	-.4	0	0	2.2	-2.6	1.3	-0.9	43	1.16	6.0	3.8	15.2	17.8	39.1	37.8	39.7	40.6	10.02	4.56
49	000961	中南建设 点评	房地产业	4.38	1.62%	167	5	0	0	2445	.12	.34	5.49	5.38	2.2	1	0	1	1.2	-.3	-1.9	84	1.10	12.5	11.5	30.4	29.2	31.0	31.3	26.1	28.0	6.61	1.10
50	600604	市北高新 点评	房地产业	5.95	1.54%	84	-71	9.98	11.63	-72	-.03	-.06	-12.51	13.9	-.2	0	0	2.6	-2.8	-4.2	4.4	65	0.69	10.4	7.8	21.9	24.7	32.6	36.8	35.1	30.7	4.31	1.12
51	000031	大悦城 点评	房地产业	4.69	1.52%	89	14	0	0	-2378	-.25	2.28	10.16	-5.83	-3.4	0	0	-2.4	-1	4	-0.6	62	1.53	5.8	8.2	23.3	24.3	34.9	30.9	36.0	36.6	7.87	3.12
52	000042	中洲控股 点评	房地产业	9.08	1.45%	60	14	0	0	443	.07	-.25	1.29	11.09	6.7	1	0	0	6.7	-11.8	5.1	36	0.76	0.0	0.0	21.5	14.8	27.7	39.5	50.8	45.7	1.09	1.58
53	600895	张江高科 点评	房地产业	13.70	1.41%	212	18	0	0	1774	.08	.02	12.25	6.35	11.2	1	0	9.8	1.4	-6.1	-5.1	57	1.03	11.3	1.5	22.6	21.2	28.9	35.0	37.2	42.3	0.75	1.62
54	002146	荣盛发展 点评	房地产业	4.46	1.36%	174	5	0	0	2920	.17	.14	7.22	5.41	4.6	1	0	2.8	1.8	-2.5	-2.1	80	1.07	11.2	8.4	31.1	29.3	30.9	33.4	26.8	28.9	3.64	1.37
55	000007	*ST全新 点评	房地产业	6.33	1.28%	20	-711	0	0	-324	-.17	-.38	-29.82	14.61	-8.8	0	0	-12.8	4	2.5	6.3	98	0.68	0.0	12.8	44.4	40.4	34.5	32.0	21.1	14.8	1.89	2.07
56	000838	财信发展 点评	房地产业	9.14	1.22%	96	-224	0	0	-923	-.1	-.44	-17.16	-4.28	-5.1	0	0	-10.5	5.4	-1.4	6.5	68	0.70	3.7	14.2	27.5	22.1	28.7	30.1	40.1	33.6	1.90	0.79
57	603506	南都物业 点评	房地产业	16.37	1.17%	31	17	0	0	178	.07	-.01	3.62	12.69	3.2	1	0	1.2	2	-3.2	0.0	29	0.99	1.2	0.0	14.9	12.9	34.6	37.8	49.3	49.3	1.80	1.32
58	000402	金融街 点评	房地产业	6.13	1.16%	183	11	0	0	-2126	-.12	-.86	-26.08	20.39	-4.2	0	0	1.8	-6	-4.4	8.6	78	0.59	13.0	11.2	23.9	29.9	28.7	33.1	34.4	25.8	2.76	2.11
59	600743	华远地产 点评	房地产业	2.63	1.15%	62	275	0	0	-8649	-1.41	-.6	-19.41	4.98	-15	0	0	-8.8	-6.2	5.3	9.7	81	0.90	10.2	19.0	22.6	28.8	35.6	30.3	31.6	21.9	9.31	2.04
60	600823	世茂股份 点评	房地产业	3.75	1.08%	141	9	0	0	-1331	-.1	-.82	-27.93	13.01	-3.9	0	0	-.4	-3.5	-.1	4.0	78	0.56	14.0	14.4	23.3	26.8	27.4	27.5	35.3	31.3	2.42	1.65
61	000036	华联控股 点评	房地产业	4.24	0.95%	63	30	0	0	-427	-.07	-.08	-6.58	1.69	-4.4	0	0	5	-9.4	-3.4	7.8	56	0.93	7.5	2.5	18.1	27.5	33.5	36.9	40.9	33.1	1.54	1.85
62	600173	卧龙地产 点评	房地产业	6.57	0.92%	46	8	0	0	-250	-.05	-1.34	-22.5	2.24	-2.3	0	0	2.8	-5.1	-5.4	7.7	46	0.46	4.0	1.2	18.0	23.1	32.8	38.2	45.2	37.5	2.35	1.43
63	000002	万科A 点评	房地产业	19.15	0.90%	1861	10	0	0	-17310	-.1	-.05	-4.62	3.2	-2.7	0	0	-1.6	-1.1	1.5	1.2	112	0.97	28.5	30.1	26.2	27.3	26.7	25.2	18.6	17.4	3.45	2.83
64	600748	上实发展 点评	房地产业	4.64	0.87%	86	16	0	0	-3952	-.47	-.43	-13.55	8.28	-8.9	0	0	-10.4	1.5	.1	8.8	72	0.88	4.9	15.3	26.5	25.0	32.1	32.0	36.5	27.7	5.19	2.27
65	001979	招商蛇口 点评	房地产业	15.16	0.80%	1201	12	0	0	144	0	0	.62	6.51	.2	1	0	-1.9	2.1	5.7	-5.9	84	1.00	12.6	14.5	29.7	27.6	33.3	27.6	24.4	30.3	0.60	1.48
66	600848	上海临港 点评	房地产业	14.10	0.79%	206	20	3.6	-6	387	.02	0	6.85	-3.23	3.5	1	1	.6	2.9	1.8	-5.3	45	1.12	3.4	2.8	20.9	18.0	37.5	35.7	38.2	43.5	0.54	1.78
67	600223	鲁商发展 点评	房地产业	10.98	0.73%	111	17	0	0	1273	.12	.56	15.24	4.07	5.2	1	0	-.2	5.4	.8	-6.0	53	1.43	3.5	3.7	25.8	20.4	32.7	31.9	38.0	44.0	2.20	1.82
68	002133	广宇集团 点评	房地产业	4.27	0.71%	33	14	0	0	-1674	-.52	.4	-3.76	1.33	-5.1	0	0	-1.9	-3.2	.4	4.7	53	1.06	2.5	4.4	21.6	24.8	36.6	36.2	39.3	34.6	9.95	1.41
