TRADE_DT	S_INFO_WINDCODE	open	close	high	low	volume	vwap
20230103	AAPL	128.2238013285794	123.09603118896484	128.83401111884518	122.21023430585915	112117500	125.59101948556214
20230104	AAPL	124.8873030948284	124.36566925048828	126.62937150933897	123.10587260552037	89113600	124.747054115044
20230105	AAPL	125.12348929490437	123.04679107666016	125.75338749760624	122.79090009423551	80962700	124.17864199085157
20230106	AAPL	124.02118700839063	127.57420349121094	128.23362708296847	122.91886125861728	87754700	125.68696971029684
20230109	AAPL	128.41079711233908	128.09584045410156	131.30439758356596	127.83994943275363	70790800	128.91274614569005
20230110	AAPL	128.20411901412172	128.6667022705078	129.18833615231142	126.09789493911427	63896200	128.0392630940138
20230111	AAPL	129.17846644203894	131.38311767578125	131.40279120059512	128.40094170907022	69458900	130.09132925687138
20230112	AAPL	131.76698078856714	131.3043975830078	132.14097304777255	129.36548883237654	71379600	131.14446006293102
20230113	AAPL	129.94616380817476	132.63307189941406	132.7905502170586	129.58200833933589	57809700	131.23794856599582
20230117	AAPL	132.7019826183309	133.79446411132812	135.12314807764807	132.01303370787318	63646600	133.40815712879507
20230118	AAPL	134.6605787592018	133.07598876953125	136.42232060237055	132.8988218980733	69672800	134.26442750729422
20230119	AAPL	131.96381962844052	133.13504028320312	134.0995687562006	131.65871475561192	58280400	132.71428585586403
20230120	AAPL	133.14486670992753	135.69398498535156	135.84162653742413	132.1015991542997	80223600	134.19551934675073
20230123	AAPL	135.9400291721196	138.88284301757812	141.05796890647485	135.7235002594527	81760300	137.9010853389063
20230124	AAPL	138.0954634232415	140.28042602539062	140.90048744485267	138.08562666123444	66435100	139.34050088867983
20230125	AAPL	138.6663258108729	139.6210174560547	140.18201330953534	136.61915274790366	65799300	138.77212733109164
20230126	AAPL	140.91037200424128	141.6879119873047	141.97332836189656	139.6604119793185	54105100	141.05800608319026
20230127	AAPL	140.90049992434123	143.62677001953125	144.9062550377642	140.82176076743906	70555800	142.56382143726893
20230130	AAPL	142.67208313488993	140.74301147460938	143.25276748002082	140.59538495227355	64015300	141.8158117604484
20230131	AAPL	140.44780863595872	142.01271057128906	142.06192444090843	140.0344391634921	65874500	141.1392207029121
20230201	AAPL	141.69771052689384	143.13465881347656	144.29604258311244	139.0895417079852	77663600	142.054488407867
20230202	AAPL	146.5498959772077	148.43960571289062	148.7939093931277	145.831421817907	118339000	147.40370822528325
20230203	AAPL	145.69362375451536	152.06150817871094	154.89605760293438	145.4967833818238	154357300	149.53699322949612
20230206	AAPL	150.1620046015634	149.3352508544922	150.6836384438328	148.40024764766747	69858300	149.64528538688896
20230207	AAPL	148.26246234257331	152.20916748046875	152.7800151967711	148.26246234257331	83322600	150.37852684059663
20230208	AAPL	151.45135018561032	149.52227783203125	152.14029923404468	148.78411491914525	64120100	150.47451054270786
20230209	AAPL	151.3528748543498	148.48880004882812	151.89419715713953	148.04590544398496	56007100	149.9454443760756
20230210	AAPL	147.32567733632254	148.85353088378906	149.17882019931434	147.08909918660703	57450700	148.11178190150827
20230213	AAPL	148.79438841262413	151.65298461914062	152.0571182724141	148.7648180243575	62199000	150.31732733213408
20230214	AAPL	149.94770404483108	151.0122833251953	151.57415087909246	148.70570240485208	61707600	150.30996016349275
20230215	AAPL	150.923562968411	153.1118621826172	153.279432747917	150.696851620169	65573800	152.00292737977855
20230216	AAPL	151.31781291605773	151.5149688720703	154.09754945424802	151.16010920849044	68167900	152.02261011271662
20230217	AAPL	150.17441057100683	150.37155151367188	150.81512239489066	148.69583093968438	59144100	150.01422885481344
20230221	AAPL	148.05508866222715	146.35964965820312	149.1393862953431	146.29065710385296	58867200	147.46119542990658
20230222	AAPL	146.74410160351695	146.78353881835938	147.8086807909047	145.0585291708209	51011300	146.59871259590048
20230223	AAPL	147.94667430552937	147.2665252685547	148.1931042440918	145.1373820304515	48394200	147.13592146215683
20230224	AAPL	145.00924162382364	144.61495971679688	145.0881010134071	143.6390916917033	55469600	144.58784851143275
20230227	AAPL	145.60065500306268	145.80764770507812	147.03979725813033	145.34435826985944	44998500	145.94811455903263
20230228	AAPL	144.9501024216552	145.30496215820312	146.95111245136155	144.73324285815977	50547000	145.48485497234492
20230301	AAPL	144.73320702328428	143.2349090576172	145.12748883698703	142.9391901768966	55479000	144.00869877369627
20230302	AAPL	142.31823534576338	143.82638549804688	144.6149643784106	141.8450789930105	52238100	143.15116605380783
20230303	AAPL	145.9259528752422	148.87326049804688	148.9521198871165	145.22610023869615	70732300	147.24435837477543
20230306	AAPL	151.59383305095145	151.63327026367188	154.06799923846452	151.26855877090114	87558000	152.14091533099725
20230307	AAPL	151.50512207262017	149.43511962890625	151.83041139396585	148.9718301446463	56182000	150.43562081003464
20230308	AAPL	150.62785567244086	150.68699645996094	151.2784344169459	149.6618543808646	47204800	150.56378523255307
20230309	AAPL	151.36711819838627	148.4395294189453	152.33311931510104	148.08466971716794	53833600	150.05610916240013
20230310	AAPL	148.0649820559655	146.37939453125	148.78455331931613	145.50210448552664	68572400	147.18275859801457
20230313	AAPL	145.69924028415588	148.32125854492188	150.9531285889032	145.59081050522525	84457100	147.64110948080156
20230314	AAPL	149.11968969699433	150.41098022460938	151.209410853691	147.95654755608294	73695900	149.6741570828444
20230315	AAPL	149.03096880678774	150.80526733398438	151.06154904978908	147.7791005346977	77167900	149.66922143131472
20230316	AAPL	149.98709719489494	153.62440490722656	154.22569446185167	149.4745187940127	76161100	151.82792883949648
20230317	AAPL	153.8511391851991	152.78656005859375	154.50171782493953	152.07684064085686	98944600	153.3040644273973
20230320	AAPL	152.85558396503848	155.1522979736328	155.56631354554972	151.94870846939224	73641400	153.88072598840333
20230321	AAPL	155.07342994575768	157.00543212890625	157.1237136794573	154.30455474450915	73938300	155.87678262465758
20230322	AAPL	157.02518131500096	155.576171875	159.824622189753	155.55645326577164	75701800	156.9956071613814
20230323	AAPL	156.56186795883147	156.66043090820312	159.24302685232914	155.4282812343858	67622100	156.9734017384374
20230324	AAPL	156.5914588714899	157.96160888671875	158.0503200650471	155.5958872192805	59196500	157.04981876063405
20230327	AAPL	157.6560281012329	156.0197296142578	158.47417734472043	155.61558088418133	52390300	156.94137898609813
20230328	AAPL	155.71413440722972	155.39869689941406	156.22671283698608	153.75254688783264	45992200	155.27302275786562
20230329	AAPL	157.09415020907082	158.4741668701172	158.75016719414856	157.074446643704	51305700	157.84823272926013
20230330	AAPL	159.22330893800608	160.0414581298828	160.1498879032855	158.96702721945866	49501700	159.59542054765825
20230331	AAPL	160.120319104618	162.54518127441406	162.64375926608275	159.59788883873148	68749800	161.22678712096157
20230403	AAPL	161.92418140899423	163.7970428466797	163.91532439911353	161.87489241518372	56976200	162.8778602674928
20230404	AAPL	164.22090454094308	163.26475524902344	164.45746763773894	162.75217680448466	46278300	163.67382605804752
20230405	AAPL	162.38747921010668	161.4214630126953	162.69304993016723	159.48946069965245	51511700	161.49786321315543
20230406	AAPL	160.1104583059446	162.30862426757812	162.60434321282244	159.686606015777	45390100	161.17750795053053
20230410	AAPL	159.11488161033475	159.71617126464844	159.71617126464844	157.7940207437735	47716900	159.08531122085128
20230411	AAPL	160.03160702009572	158.5037384033203	160.04145880285023	158.21787125365222	47644200	159.19866886997963
20230412	AAPL	158.9177372546322	157.81373596191406	159.7457382241708	157.49829842634344	50133100	158.49387746676513
